Ticker,Year,Total Liabilities,Total Equity,Long-Term Debt,Net Income,Operating Income,Profit Margin,Total Revenue,Debt_to_Equity,Debt_to_Revenue,Debt_Group
IRM,2015,5841746000.0,508841000.0,4757610000.0,123241000.0,524527000.0,4.0,3007976000.0,11.480493906741005,1.581664880304896,High Debt
MAS,2013,6398000000.0,559000000.0,3421000000.0,288000000.0,612000000.0,4.0,6761000000.0,11.445438282647585,0.5059902381304541,High Debt
UAL,2013,33828000000.0,2984000000.0,10924000000.0,571000000.0,1249000000.0,1.0,38279000000.0,11.336461126005362,0.28537840591447006,High Debt
STT,2013,222913000000.0,20378000000.0,0.0,2050000000.0,0.0,20.0,10275000000.0,10.938904701148298,0.0,High Debt
MJN,2013,3182300000.0,291800000.0,1009100000.0,683800000.0,1023400000.0,16.0,4200700000.0,10.905757368060316,0.24022186778394078,High Debt
IDXX,2014,1266695000.0,117516000.0,350000000.0,181906000.0,260255000.0,12.0,1485807000.0,10.778915211545662,0.23556222308819383,High Debt
CL,2014,12314000000.0,1145000000.0,5644000000.0,2180000000.0,3557000000.0,13.0,17277000000.0,10.754585152838429,0.3266770851420964,High Debt
STT,2015,224052000000.0,21103000000.0,0.0,1980000000.0,0.0,18.0,10760000000.0,10.617068663223238,0.0,High Debt
JPM,2012,2155072000000.0,204069000000.0,380942000000.0,21284000000.0,28917000000.0,23.0,93646000000.0,10.560506495352062,4.067893983725947,High Debt
KLAC,2015,4404573000.0,421439000.0,3173435000.0,366158000.0,661340000.0,13.0,2814049000.0,10.451270527881853,1.127711351152734,High Debt
JPM,2013,2204511000000.0,211178000000.0,405633000000.0,17886000000.0,26675000000.0,18.0,97142000000.0,10.439112975783463,4.175670667682362,High Debt
MO,2014,31461000000.0,3014000000.0,13693000000.0,5070000000.0,7620000000.0,21.0,24522000000.0,10.43828798938288,0.5583965418807602,High Debt
LVLT,2012,12136000000.0,1171000000.0,8516000000.0,-422000000.0,575000000.0,7.0,6376000000.0,10.363791631084544,1.335633626097867,High Debt
MO,2015,29655000000.0,2880000000.0,12915000000.0,5241000000.0,8361000000.0,21.0,25434000000.0,10.296875,0.5077848549186129,High Debt
ADS,2015,20411800000.0,2010030000.0,10136018000.0,596541000.0,1261860000.0,9.0,6439746000.0,10.154972811351074,1.573977917762595,High Debt
MO,2012,32161000000.0,3168000000.0,12419000000.0,4180000000.0,7253000000.0,17.0,24618000000.0,10.151830808080808,0.5044682752457551,High Debt
VRSK,2014,2134287000.0,211043000.0,1100874000.0,400042000.0,660446000.0,23.0,1746726000.0,10.113043313447971,0.6302499647912724,High Debt
JPM,2014,2340547000000.0,231727000000.0,429194000000.0,21745000000.0,30699000000.0,24.0,91973000000.0,10.100450098607412,4.6665216965848675,High Debt
ABC,2014,19575284000.0,1956899000.0,1995632000.0,274230000.0,782091000.0,0.0,119569127000.0,10.003216313156683,0.016690194618548985,High Debt
GT,2013,15921000000.0,1606000000.0,6162000000.0,629000000.0,1302000000.0,3.0,19540000000.0,9.913449564134496,0.31535312180143293,High Debt
LMT,2014,33646000000.0,3400000000.0,6142000000.0,3614000000.0,5012000000.0,9.0,39946000000.0,9.895882352941177,0.15375757272317628,High Debt
HBAN,2015,64449945000.0,6594606000.0,0.0,692957000.0,0.0,22.0,3153251000.0,9.773130494831685,0.0,High Debt
BA,2014,84256000000.0,8665000000.0,8141000000.0,5446000000.0,7473000000.0,6.0,90762000000.0,9.723716099249856,0.08969612833564708,High Debt
HBAN,2014,59969840000.0,6328170000.0,0.0,632392000.0,0.0,21.0,2955641000.0,9.476648067292755,0.0,High Debt
BK,2015,355743000000.0,38037000000.0,26800000000.0,3158000000.0,4152000000.0,21.0,14951000000.0,9.352551463049137,1.792522239315096,High Debt
BK,2014,347862000000.0,37441000000.0,36144000000.0,2567000000.0,3472000000.0,16.0,15649000000.0,9.290937742047488,2.3096683494152983,High Debt
MCO,2012,3575700000.0,385200000.0,1607400000.0,690000000.0,1077400000.0,25.0,2730300000.0,9.282710280373832,0.5887265135699373,High Debt
WYN,2015,8766000000.0,950000000.0,4955000000.0,612000000.0,1015000000.0,11.0,5536000000.0,9.227368421052631,0.8950505780346821,High Debt
WU,2012,8525100000.0,940600000.0,0.0,1025900000.0,1330000000.0,18.0,5664800000.0,9.06347012545184,0.0,High Debt
BK,2013,337019000000.0,37497000000.0,37557000000.0,2104000000.0,3636000000.0,14.0,14942000000.0,8.98789236472251,2.5135189399009503,High Debt
IBM,2014,105403000000.0,11868000000.0,34991000000.0,12022000000.0,18532000000.0,13.0,92793000000.0,8.881277384563532,0.37708663369004125,High Debt
C,2012,1675611000000.0,189049000000.0,355012000000.0,7541000000.0,4574000000.0,13.0,59581000000.0,8.86336875624838,5.958476695590877,High Debt
BK,2012,322559000000.0,36431000000.0,38238000000.0,2437000000.0,3195000000.0,17.0,14528000000.0,8.853970519612417,2.6320209251101323,High Debt
HBAN,2013,53377021000.0,6090153000.0,0.0,641282000.0,0.0,22.0,2872833000.0,8.764479480236375,0.0,High Debt
HBAN,2012,50362974000.0,5790211000.0,0.0,631290000.0,0.0,21.0,3036584000.0,8.697951421804836,0.0,High Debt
ETFC,2012,42482269000.0,4904470000.0,0.0,-113000000.0,203000000.0,8.0,1365000000.0,8.661948997547135,0.0,High Debt
ETFC,2013,41424000000.0,4856000000.0,0.0,86000000.0,191000000.0,6.0,1466000000.0,8.530477759472817,0.0,High Debt
CMA,2015,64317000000.0,7560000000.0,0.0,521000000.0,0.0,18.0,2819000000.0,8.507539682539683,0.0,High Debt
JPM,2015,2104125000000.0,247573000000.0,415548000000.0,24442000000.0,30702000000.0,27.0,89716000000.0,8.499008373287879,4.631815952561416,High Debt
CMA,2014,61784000000.0,7402000000.0,0.0,593000000.0,0.0,23.0,2607000000.0,8.346933261280736,0.0,High Debt
BAC,2012,1973018000000.0,236956000000.0,119603000000.0,4188000000.0,0.0,4.0,100078000000.0,8.326516315265282,1.195097823697516,High Debt
WFC,2015,1594634000000.0,192998000000.0,0.0,22894000000.0,0.0,25.0,90033000000.0,8.262437952724898,0.0,High Debt
VRSK,2012,2104745000.0,255591000.0,1266162000.0,329142000.0,572228000.0,23.0,1407848000.0,8.23481656239852,0.8993598740773152,High Debt
C,2013,1676043000000.0,204339000000.0,329878000000.0,13659000000.0,19054000000.0,20.0,67997000000.0,8.202266821311644,4.851361089459829,High Debt
ZION,2012,49459849000.0,6052069000.0,0.0,349516000.0,0.0,14.0,2458592000.0,8.172386831676903,0.0,High Debt
WU,2013,9016600000.0,1104700000.0,0.0,798400000.0,1107400000.0,14.0,5542000000.0,8.162034941613108,0.0,High Debt
WFC,2014,1502761000000.0,184394000000.0,0.0,23057000000.0,0.0,26.0,88372000000.0,8.14972829918544,0.0,High Debt
LVLT,2013,11463000000.0,1411000000.0,8331000000.0,-109000000.0,666000000.0,2.0,6313000000.0,8.124025513819985,1.3196578488832569,High Debt
CMA,2013,58074000000.0,7150000000.0,0.0,541000000.0,0.0,20.0,2666000000.0,8.122237762237763,0.0,High Debt
BAC,2013,1869588000000.0,232685000000.0,120876000000.0,11431000000.0,0.0,11.0,101697000000.0,8.034845391838752,1.1885896339125048,High Debt
WFC,2012,1265414000000.0,157554000000.0,0.0,18897000000.0,0.0,21.0,91247000000.0,8.031620904578748,0.0,High Debt
OMC,2015,19658300000.0,2452400000.0,3564200000.0,1093900000.0,1920100000.0,7.0,15134400000.0,8.01594356548687,0.23550322444233004,High Debt
WFC,2013,1353360000000.0,170142000000.0,0.0,21878000000.0,0.0,25.0,88069000000.0,7.954296998977325,0.0,High Debt
WLTW,2012,13413000000.0,1699000000.0,2353000000.0,-446000000.0,-225000000.0,13.0,3480000000.0,7.894643908181283,0.6761494252873563,High Debt
DE,2016,51461400000.0,6520000000.0,23759700000.0,1523900000.0,2987700000.0,6.0,26644000000.0,7.892852760736196,0.8917467347245158,High Debt
YUM,2015,7164000000.0,911000000.0,3054000000.0,1293000000.0,1921000000.0,10.0,13105000000.0,7.863885839736553,0.233040824112934,High Debt
JWN,2015,6827000000.0,871000000.0,2795000000.0,600000000.0,1101000000.0,4.0,14437000000.0,7.838117106773823,0.19359977834730208,High Debt
C,2014,1631996000000.0,210185000000.0,362116000000.0,7310000000.0,14131000000.0,11.0,69606000000.0,7.7645693079905795,5.202367611987472,High Debt
BBT,2012,163341000000.0,21158000000.0,0.0,1979000000.0,0.0,18.0,10737000000.0,7.720058606673598,0.0,High Debt
ZION,2013,49566564000.0,6464563000.0,0.0,263791000.0,0.0,12.0,2278812000.0,7.667426862419006,0.0,High Debt
BAC,2014,1861063000000.0,243471000000.0,121101000000.0,4833000000.0,0.0,5.0,95181000000.0,7.643879558551121,1.272323257793047,High Debt
AAL,2015,42780000000.0,5635000000.0,18330000000.0,7610000000.0,6204000000.0,19.0,40990000000.0,7.591836734693878,0.44718223957062697,High Debt
F,2014,184177000000.0,24438000000.0,119171000000.0,1231000000.0,332000000.0,1.0,144077000000.0,7.536500531958425,0.8271341019038431,High Debt
ETFC,2014,40155000000.0,5375000000.0,0.0,293000000.0,520000000.0,18.0,1665000000.0,7.470697674418605,0.0,High Debt
MO,2013,30740000000.0,4119000000.0,13992000000.0,4535000000.0,8084000000.0,19.0,24466000000.0,7.462976450594804,0.5718956919807079,High Debt
ADS,2014,17867597000.0,2396380000.0,8134248000.0,506293000.0,1098467000.0,10.0,5302940000.0,7.456078334821689,1.533912886059431,High Debt
WLTW,2015,16610000000.0,2229000000.0,3266000000.0,373000000.0,427000000.0,10.0,3829000000.0,7.451772095109915,0.852964220423087,High Debt
UPS,2012,34210000000.0,4653000000.0,11089000000.0,807000000.0,1343000000.0,1.0,54127000000.0,7.3522458628841605,0.20487002789735254,High Debt
AFL,2013,106687000000.0,14620000000.0,10717000000.0,3158000000.0,4816000000.0,13.0,23939000000.0,7.297332421340629,0.44767951877689127,High Debt
STI,2014,167323000000.0,23005000000.0,1227000000.0,1774000000.0,0.0,20.0,8707000000.0,7.273331884372962,0.14092109796715285,High Debt
STI,2012,152457000000.0,20985000000.0,1176000000.0,1958000000.0,0.0,17.0,11240000000.0,7.2650464617583985,0.10462633451957296,High Debt
PBCT,2015,34145800000.0,4731600000.0,0.0,260100000.0,0.0,18.0,1421300000.0,7.216544086566912,0.0,High Debt
AFL,2012,115116000000.0,15978000000.0,10629000000.0,2866000000.0,4302000000.0,11.0,25364000000.0,7.204656402553511,0.4190585081217474,High Debt
STI,2013,153913000000.0,21422000000.0,1181000000.0,1344000000.0,0.0,16.0,8602000000.0,7.184810008402577,0.13729365263892118,High Debt
ABC,2013,16598893000.0,2319745000.0,1396606000.0,433707000.0,898399000.0,0.0,87959167000.0,7.155481744760738,0.015877890248778732,High Debt
STI,2015,167380000000.0,23437000000.0,1263000000.0,1933000000.0,0.0,23.0,8533000000.0,7.141699022912489,0.1480135942810266,High Debt
MTB,2012,72806210000.0,10202593000.0,0.0,1029498000.0,0.0,22.0,4608955000.0,7.136049629736283,0.0,High Debt
AXP,2012,134254000000.0,18886000000.0,0.0,4482000000.0,0.0,13.0,33781000000.0,7.1086519114688125,0.0,High Debt
BBT,2013,160251000000.0,22759000000.0,0.0,1680000000.0,0.0,16.0,10543000000.0,7.041214464607408,0.0,High Debt
PNC,2015,313783000000.0,44710000000.0,0.0,4106000000.0,0.0,25.0,16270000000.0,7.018183851487363,0.0,High Debt
CHK,2015,14960000000.0,2138000000.0,10354000000.0,-14685000000.0,-18919000000.0,115.0,12764000000.0,6.997193638914874,0.8111877154497023,High Debt
WMB,2015,42872000000.0,6148000000.0,23812000000.0,-571000000.0,226000000.0,8.0,7360000000.0,6.973324658425504,3.2353260869565217,High Debt
ZION,2015,52162006000.0,7507519000.0,0.0,309471000.0,0.0,14.0,2210591000.0,6.947968563249724,0.0,High Debt
IP,2015,26703000000.0,3884000000.0,15177000000.0,938000000.0,1995000000.0,4.0,22365000000.0,6.875128733264676,0.6786049631120054,High Debt
AXP,2013,133879000000.0,19496000000.0,0.0,5359000000.0,0.0,15.0,34828000000.0,6.8669983586376695,0.0,High Debt
F,2015,196283000000.0,28642000000.0,89879000000.0,7373000000.0,7647000000.0,5.0,149558000000.0,6.852978143984359,0.6009641744339989,High Debt
MTB,2014,84349639000.0,12335896000.0,0.0,1066246000.0,0.0,23.0,4736150000.0,6.837739147606303,0.0,High Debt
ETFC,2015,39628000000.0,5799000000.0,0.0,268000000.0,196000000.0,19.0,1403000000.0,6.833591998620451,0.0,High Debt
PNC,2012,266104000000.0,39003000000.0,0.0,3001000000.0,0.0,18.0,16606000000.0,6.822654667589672,0.0,High Debt
BLL,2015,8525700000.0,1251300000.0,5054200000.0,280900000.0,605200000.0,4.0,7997000000.0,6.813473987053464,0.6320120045016882,High Debt
C,2015,1509353000000.0,221857000000.0,318787000000.0,17242000000.0,24144000000.0,25.0,68024000000.0,6.803269673708741,4.686390097612607,High Debt
MAS,2014,6284000000.0,924000000.0,2919000000.0,856000000.0,721000000.0,12.0,7006000000.0,6.800865800865801,0.4166428775335427,High Debt
AXP,2015,140511000000.0,20673000000.0,0.0,5163000000.0,0.0,15.0,34441000000.0,6.796836453344943,0.0,High Debt
PBCT,2014,31364000000.0,4633100000.0,0.0,251700000.0,0.0,18.0,1381400000.0,6.769549545660573,0.0,High Debt
WLTW,2014,13436000000.0,1985000000.0,2297000000.0,362000000.0,647000000.0,10.0,3802000000.0,6.768765743073048,0.6041557075223567,High Debt
ZION,2014,49839344000.0,7369530000.0,0.0,398462000.0,0.0,17.0,2361631000.0,6.762893156008592,0.0,High Debt
IBM,2015,96233000000.0,14262000000.0,33428000000.0,13190000000.0,15689000000.0,16.0,81741000000.0,6.747510868040948,0.40895022081941745,High Debt
PNC,2014,300521000000.0,44551000000.0,0.0,4184000000.0,0.0,26.0,16281000000.0,6.745550043770061,0.0,High Debt
F,2013,176067000000.0,26112000000.0,114688000000.0,11953000000.0,12809000000.0,8.0,146917000000.0,6.742761948529412,0.7806312407685972,High Debt
COF,2012,272419000000.0,40499000000.0,0.0,3492000000.0,0.0,15.0,23771000000.0,6.726561149658016,0.0,High Debt
WYN,2014,8424000000.0,1255000000.0,4792000000.0,529000000.0,941000000.0,10.0,5281000000.0,6.712350597609562,0.9074039007763681,High Debt
DFS,2015,75661000000.0,11275000000.0,0.0,2297000000.0,0.0,23.0,10002000000.0,6.710509977827051,0.0,High Debt
DFS,2012,65505000000.0,9778000000.0,0.0,2345000000.0,0.0,26.0,8984000000.0,6.699222744937615,0.0,High Debt
AXP,2014,138430000000.0,20673000000.0,0.0,5885000000.0,0.0,16.0,35895000000.0,6.696173753204663,0.0,High Debt
BBT,2014,162545000000.0,24289000000.0,0.0,2131000000.0,0.0,21.0,9998000000.0,6.692124006752028,0.0,High Debt
BBT,2015,182641000000.0,27306000000.0,0.0,2084000000.0,0.0,20.0,10346000000.0,6.688676481359408,0.0,High Debt
GPN,2015,5021325000.0,757976000.0,1678283000.0,278040000.0,456597000.0,10.0,2773718000.0,6.624649065405765,0.6050661963472855,High Debt
IRM,2014,5666910000.0,856355000.0,4564359000.0,326119000.0,549277000.0,10.0,3117693000.0,6.617477564794974,1.4640181056954613,High Debt
WU,2014,8590000000.0,1300400000.0,0.0,852400000.0,1140500000.0,15.0,5607200000.0,6.605659796985543,0.0,High Debt
MTB,2015,106614595000.0,16173289000.0,0.0,1079667000.0,0.0,22.0,4995881000.0,6.592016936072805,0.0,High Debt
OKE,2013,15403630000.0,2337851000.0,7753657000.0,266533000.0,880618000.0,2.0,11871879000.0,6.588798858438797,0.6531111882120766,High Debt
PNC,2013,277858000000.0,42334000000.0,0.0,4201000000.0,0.0,25.0,16872000000.0,6.563471441394624,0.0,High Debt
MTB,2013,73856859000.0,11305532000.0,0.0,1138480000.0,0.0,24.0,4822539000.0,6.532807036413677,0.0,High Debt
OMC,2014,18578400000.0,2850000000.0,4542100000.0,1104000000.0,1944100000.0,7.0,15317800000.0,6.518736842105263,0.29652430505686195,High Debt
DFS,2014,71992000000.0,11134000000.0,0.0,2323000000.0,0.0,24.0,9611000000.0,6.465960122148374,0.0,High Debt
OKE,2012,13725666000.0,2129609000.0,6515372000.0,360619000.0,953479000.0,4.0,10184121000.0,6.445157773093558,0.6397579133240856,High Debt
ZTS,2015,6845000000.0,1068000000.0,4526000000.0,339000000.0,750000000.0,7.0,4765000000.0,6.409176029962547,0.9498426023084995,High Debt
LMT,2013,31270000000.0,4918000000.0,6152000000.0,2981000000.0,4505000000.0,7.0,45358000000.0,6.358275721838146,0.135632082543322,High Debt
APA,2015,16276000000.0,2566000000.0,8777000000.0,-23528000000.0,-27910000000.0,369.0,6383000000.0,6.34294621979735,1.3750587498041673,High Debt
DFS,2013,68531000000.0,10809000000.0,0.0,2470000000.0,0.0,26.0,9370000000.0,6.34017948006291,0.0,High Debt
BLL,2014,6537900000.0,1033100000.0,2993800000.0,470000000.0,838600000.0,5.0,8570000000.0,6.328429000096796,0.3493348891481914,High Debt
UNM,2014,53928300000.0,8521900000.0,2854400000.0,402100000.0,542000000.0,4.0,10524500000.0,6.328201457421467,0.27121478455033493,High Debt
PBCT,2013,28645300000.0,4568400000.0,0.0,232400000.0,0.0,17.0,1346100000.0,6.270313457665703,0.0,High Debt
UNM,2012,53623500000.0,8612600000.0,3211200000.0,894400000.0,1249500000.0,9.0,10515400000.0,6.226168636648631,0.30538067976491623,High Debt
SYF,2014,65229000000.0,10478000000.0,0.0,2109000000.0,0.0,17.0,12727000000.0,6.22532926130941,0.0,High Debt
KLAC,2016,4273318000.0,689114000.0,3057936000.0,704422000.0,960445000.0,24.0,2984493000.0,6.201177163720371,1.024608199784687,High Debt
